user_id,email,first_name,last_name
0,leeashley@virginia tech.edu,Gary,Cross
1,myersmitchell@ucla.edu,Chelsea,Greer
2,smithjames@ucsd.edu,Jasmine,Perry
3,monica23@nyu.edu,Steven,Bowman
4,ryanhoward@penn state.edu,Daniel,Duarte
5,mistymurray@uci.edu,Joan,Atkins
6,ruizedward@brown university.edu,John,Ellis
7,adkinskelly@university of maryland.edu,Briana,Smith
8,lhebert@umass.edu,Kristin,Watts
9,michael76@brown university.edu,Leslie,Taylor
10,cheyenne84@penn state.edu,Mark,Thompson
11,meyersangelica@nyu.edu,Tamara,Alexander
12,joeanderson@ucsf.edu,Patricia,Hudson
13,larry56@uci.edu,Cindy,Graham
14,wanda38@ucr.edu,Melanie,Park
15,janicereynolds@ucla.edu,Justin,Branch
16,edwardsrebecca@nyu.edu,Timothy,Kirk
17,deborahbryant@mit.edu,Emily,Arroyo
18,cookstephanie@mit.edu,Jose,Copeland
19,reynoldsryan@usd.edu,Jason,Hopkins
20,pford@brown university.edu,Heather,Johnson
21,daniel75@usd.edu,Heidi,Sharp
22,brendagonzalez@berkeley.edu,Charles,Shields
23,ostewart@uci.edu,Joseph,Smith
24,cmartinez@ucsd.edu,Kathryn,Hansen
25,carlyjohnson@berkeley.edu,Michael,Snyder
26,moorecourtney@ucsf.edu,Kevin,Walls
27,heatherhayden@brown university.edu,Russell,Robinson
28,christophergarcia@ucla.edu,Rhonda,Reyes
29,twright@nyu.edu,Amy,Lamb
30,mariecollins@ucsd.edu,William,Smith
31,joshua15@uci.edu,Brett,Duran
32,mary59@uci.edu,Ashley,Cook
33,bernard52@university of maryland.edu,Ashley,Williams
34,kellyhill@ucsf.edu,Ann,Crawford
35,ldickson@ucsf.edu,Chad,Bridges
36,nicholsdavid@umass.edu,Dalton,Fritz
37,darrellmorris@ucsd.edu,Madeline,Stevenson
38,carlosramirez@mit.edu,Valerie,Charles
39,qbeard@university of maryland.edu,James,Scott
40,pamela18@university of maryland.edu,Christine,Gardner
41,donnaball@ucsf.edu,Keith,Jones
42,xwiley@harvard.edu,Lori,Moore
43,wilsonjennifer@virginia tech.edu,Ariel,Freeman
44,cgrant@ucla.edu,Randy,Bernard
45,turnervanessa@washington state.edu,Timothy,Kerr
46,peckjames@brown university.edu,Beverly,Taylor
47,ldaniel@umass.edu,Anne,Willis
48,riveraroger@berkeley.edu,Jesus,Santana
49,stephanie89@usd.edu,Olivia,Dennis
50,debbiediaz@usd.edu,Leslie,Thomas
51,skirk@stanford.edu,Zoe,Morgan
52,james15@university of maryland.edu,Christopher,Barber
53,lisa29@ucr.edu,Samantha,Hudson
54,samantha98@berkeley.edu,Jessica,Dean
55,gordon43@university of maryland.edu,Sarah,Stevenson
56,fitzgeraldtim@umass.edu,Stephanie,Cordova
57,jacksonvictoria@university of maryland.edu,Jodi,Moore
58,shannon19@umass.edu,William,Mccarty
59,jennaarnold@ucla.edu,Michael,Goodman
60,hoffmananthony@virginia tech.edu,Wesley,Harris
61,matthewtownsend@brown university.edu,Brent,Hernandez
62,rward@ucla.edu,Matthew,Cisneros
63,billymartinez@ucsf.edu,Joshua,Barron
64,davidtaylor@penn state.edu,Karen,Knox
65,bradley51@umass.edu,Donald,Doyle
66,joshuamays@washington state.edu,Jennifer,Marshall
